v3,03/Jun/2026,08:18:26,UTC

SCRIPT
Name,Regress PRO EN
Description,
Created,21/Jun/2023,11:48:17

REPORT COMMENTS
(none)

,,,show,number
,,,show,tester
,,,show,date
,,,hide,time
,,,hide,tag filter
,,,show,build
""
,,,,pass
,,,,fail
,,,,blocked
,,,,tried

number,indent,text,tags,notes
1,1,Onboarding,,
2,2,Icons and text are displayed correctly,,
3,2,"Tapping ""Get started"" opens the bottom sheet for connecting a wallet",,
4,1,,,
5,1,Add wallet,,
6,2,New wallet,,
7,3,"When switching between the ""Grab a pen and a piece of paper"" and ""Your recovery phrase"" steps, the key values stay unchanged",,
8,3,"When switching between the ""Your recovery phrase"" and ""So, let’s check"" steps, the values in the ""So, let’s check"" inputs change and the inputs are cleared",,
9,3,Field validation when moving to the next field,,
10,3,"The ""Continue"" button is not active until all fields are filled",,
11,3,It is possible to set a password for confirming payments and accessing the wallet,,
12,3,"If the password does not meet the minimum requirements, the corresponding error is displayed",,"- не менее 6 символов

- пароль 1 = пароль 2"
13,3,"If the second password does not match the first, the corresponding error is displayed",,
14,3,"The wallet can be customized (name, icon/color). By default the name is ""Account N"" and an auto-generated wallet icon is used",,
15,3,"After completing all steps, the wallet creation success screen appears, onboarding closes on its own and returns to the entry point",,
16,3,A W5 wallet is created by default,,
17,3,Wallet initialization happens together with the first outgoing transaction,,
18,3,,,
19,2,New multi-wallet account,,
20,3,"The creation flow is the same as ""New wallet""",,
21,3,Additional wallets can be added by tapping the gear icon next to the wallet name -> Add new wallet,,
22,3,All multi-wallets are available under one seed phrase,,
23,2,,,
24,2,Import wallet,,
25,3,It is possible to enter a secret key of 24 or 12 words,,
26,3,24 words are selected by default,,
27,3,There is a checksum check (test*24 or test*12),,
28,3,Words can be entered one by one from the keyboard,,
29,3,All words can be pasted as a list,,
30,3,Field validation when moving to the next field,,
31,3,"The ""Incorrect phrase"" error appears if at least one field has a validation error / the word is entered incorrectly",,
32,3,Password setup and customization steps are the same as when creating a wallet,,
33,3,W5 is always imported + older wallet versions are offered for import if they have funds,,
34,3,It is possible to import existing multisig (PRO subscription) and multi-wallet accounts as well,,
35,2,,,
36,2,Watch only,,
37,3,It is possible to add a wallet by address/DNS,,
38,3,"On the main screen only the ""Receive"" and ""Buy"" button is available",,
39,3,There is a Watch only badge near the address and on receive screen,,
40,3,"Battery, seed phrase are hidden",,
41,3,"When connecting to ton connect, there is an error: ""The operation is not available for this wallets. Select another wallet and try again.""",,
42,3,,,
43,2,Hardware wallets,,
44,3,Pair with Signer ,,
45,4,It is possible to connect Signer by QR code,,
46,4,It is possible to connect Signer by deep link (when Signer and Tonkeeper PRO is on one mobile device),,
47,4,There is a Signer badge next to address,,
48,4,"Battery, Back up, Gasless, TRON address generation are hidden",,
49,4,"It is possible to send a regular TON, Jetton, NFT transaction (fee in TON)",,
50,4,It is possible to connect to a DApp WITHOUT tonproof and sign a ton connect transaction,,
51,4,It is possible to make a native Omniston swap (Swap button on the main screen),,
52,4,It is possible to confirm stake deposit/withdrawal,,
53,4,"It is possible to renew DNS, TG Username",,
54,3,,,
55,3,Pair with Ledger,,
56,4,Connects by USB,,
57,4,Generates 10 addresses by default,,
58,4,Addresses with available balance are preselected when importing,,
59,4,There is a Ledger badge next to address,,
60,4,"Battery, Back up, Gasless, TRON address generation are hidden",,
61,4,"It is possible to send a regular TON, Jetton, NFT transaction (fee in TON)",,
62,4,It is possible to connect to a DApp with tonproof and sign a ton connect transaction,,
63,4,It is possible to make a native Omniston swap (Swap button on the main screen),,
64,4,It is possible to confirm stake deposit/withdrawal,,
